ID,MitgliedLabel,employerLabel,coord,X-COOR,Y-COOR
1,Holger Simon,University of Cologne,Point,6.928611111,50.928055555
2,Lisa Dieckmann,University of Cologne,Point,6.928611111,50.928055555
3,Mabi Angar,University of Cologne,Point,6.928611111,50.928055555
4,Hubertus Kohle,Ludwig Maximilian University of Munich,Point,11.580277777,48.150833333
5,Stephan Hoppe,Ludwig Maximilian University of Munich,Point,11.580277777,48.150833333
6,Thorsten Wuebbena,Heidelberg University,Point,8.706388888,49.410277777
7,Georg Schelbert,Humboldt University of Berlin,Point,13.393333333,52.518055555
8,Michael Müller,Humboldt University of Berlin,Point,13.393333333,52.518055555
9,Michael Müller,Freie Universität Berlin,Point,13.290555555,52.453055555
10,Anna Schreurs,University of Freiburg,Point,7.846944444,47.994166666
11,Ute Verstegen,University of Marburg,Point,8.773611111,50.810833333
12,Thorsten Wuebbena,Deutsches Forum für Kunstgeschichte,Point,2.335739722,48.867
13,Anne Klammt,Deutsches Forum für Kunstgeschichte,Point,2.335739722,48.867
14,Ralph Knickmeier,Belvedere,Point,16.38049,48.19139
15,Georg Schelbert,Bibliotheca Hertziana – Max Planck Institute of Art History,Point,12.48414,41.90534
16,Martin Raspe,Bibliotheca Hertziana – Max Planck Institute of Art History,Point,12.48414,41.90534
17,Tatjana Bartsch,Bibliotheca Hertziana – Max Planck Institute of Art History,Point,12.48414,41.90534
18,Florian Thiery,Mainz University of Applied Sciences,Point,8.2270517,49.9882478
19,Fabian Cremer,Göttingen State and University Library,Point,9.93639,51.5397
20,Anne Klammt,Göttingen State and University Library,Point,9.93639,51.5397
21,Thorsten Wuebbena,Saarland University,Point,7.04166667,49.25555556
22,Andreas Tacke,University of Trier,Point,6.687777777,49.7475
23,Georg Schelbert,University of Trier,Point,6.687777777,49.7475
24,Anna Schreurs,Kunsthistorisches Institut in Florenz,Point,11.264,43.7772
25,Florian Thiery,Römisch-Germanisches Zentralmuseum,Point,8.26972,50.0061
26,Maria Effinger,University Library Heidelberg,Point,8.70583,49.4097
27,Matthias Arnold,University Library Heidelberg,Point,8.70583,49.4097
28,Antje Schmidt,Museum of Art and Crafts Hamburg,Point,10.009444,53.551111
29,Filomena Lopedoto,IST-Hochschule für Management,Point,6.8135045,51.2191041
30,Anna Schreurs,"Institute of Art History, Goethe-University Frankfurt",Point,8.652256388,50.1184875
31,Thorsten Wuebbena,"Institute of Art History, Goethe-University Frankfurt",Point,8.652256388,50.1184875
